round,model,est_rank,percentile
292,integrated_v2,5523296,67.8
292,np_no_num,4731229,58.1
293,integrated_v2,5341671,65.6
293,np_no_num,4932809,60.6
294,integrated_v2,3354782,41.2
294,np_no_num,3479803,42.7
295,integrated_v2,7152227,87.8
295,np_no_num,7050011,86.6
296,integrated_v2,1346718,16.5
296,np_no_num,1376854,16.9
297,integrated_v2,3470844,42.6
297,np_no_num,3759164,46.2
298,integrated_v2,756231,9.3
298,np_no_num,551800,6.8
299,integrated_v2,2206794,27.1
299,np_no_num,2892166,35.5
300,integrated_v2,4540237,55.7
300,np_no_num,4698650,57.7
301,integrated_v2,1696124,20.8
301,np_no_num,1347126,16.5
302,integrated_v2,5623883,69.0
302,np_no_num,5280993,64.8
303,integrated_v2,950888,11.7
303,np_no_num,1088940,13.4
304,integrated_v2,2841262,34.9
304,np_no_num,3257861,40.0
305,integrated_v2,96514,1.2
305,np_no_num,83483,1.0
306,integrated_v2,7616065,93.5
306,np_no_num,7625024,93.6
307,integrated_v2,6520609,80.1
307,np_no_num,6542600,80.3
308,integrated_v2,7462131,91.6
308,np_no_num,7436068,91.3
309,integrated_v2,2086253,25.6
309,np_no_num,2205979,27.1
310,integrated_v2,6727483,82.6
310,np_no_num,6697755,82.2
311,integrated_v2,1691237,20.8
311,np_no_num,1799561,22.1
312,integrated_v2,2339959,28.7
312,np_no_num,1686350,20.7
313,integrated_v2,3577131,43.9
313,np_no_num,3373515,41.4
314,integrated_v2,4193274,51.5
314,np_no_num,3958708,48.6
315,integrated_v2,5347372,65.7
315,np_no_num,5445922,66.9
316,integrated_v2,6850875,84.1
316,np_no_num,6837029,83.9
317,integrated_v2,4142370,50.9
317,np_no_num,3578760,43.9
318,integrated_v2,961883,11.8
318,np_no_num,1365451,16.8
319,integrated_v2,6640335,81.5
319,np_no_num,6866757,84.3
320,integrated_v2,1972635,24.2
320,np_no_num,1661916,20.4
321,integrated_v2,4644895,57.0
321,np_no_num,4352502,53.4
322,integrated_v2,3196776,39.2
322,np_no_num,3433378,42.2
323,integrated_v2,4838738,59.4
323,np_no_num,5095702,62.6
324,integrated_v2,3039177,37.3
324,np_no_num,3316503,40.7
325,integrated_v2,1002200,12.3
325,np_no_num,1245317,15.3
326,integrated_v2,4941768,60.7
326,np_no_num,4322367,53.1
327,integrated_v2,3777897,46.4
327,np_no_num,4044635,49.7
328,integrated_v2,6477850,79.5
328,np_no_num,6319843,77.6
329,integrated_v2,2050416,25.2
329,np_no_num,2133492,26.2
330,integrated_v2,3290440,40.4
330,np_no_num,2550905,31.3
331,integrated_v2,5668271,69.6
331,np_no_num,5927271,72.8
332,integrated_v2,1478662,18.2
332,np_no_num,1450155,17.8
333,integrated_v2,1289706,15.8
333,np_no_num,1613456,19.8
334,integrated_v2,5707773,70.1
334,np_no_num,4614353,56.7
335,integrated_v2,5994057,73.6
335,np_no_num,6147991,75.5
336,integrated_v2,5727727,70.3
336,np_no_num,5956592,73.1
337,integrated_v2,577456,7.1
337,np_no_num,542434,6.7
338,integrated_v2,1564588,19.2
338,np_no_num,1636261,20.1
339,integrated_v2,4048707,49.7
339,np_no_num,4043820,49.6
